year,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding
2000,16.7,55.4,0.0,78.21,0.0,8.66,6.43,0.0,0.0,0.94,0.0,0.2,0.0
2001,2.88,23.49,0.0,21.5,0.01,4.49,1.18,0.0,0.0,0.46,0.0,0.46,0.0
2002,6.59,209.42,0.0,25.77,0.02,3.42,3.41,0.0,1.51,0.34,0.0,0.06,0.0
2003,7.74,233.86,0.0,9.4,0.01,1.09,3.41,0.0,1.62,2.11,0.0,0.08,0.0
2004,9.93,555.9,0.0,33.19,0.01,13.55,9.18,0.0,2.19,3.38,0.0,0.55,0.0
2005,26.6,2628.92,0.0,9.51,0.02,35.09,31.06,0.0,2.4,3.51,0.0,0.05,0.0
2006,61.81,3100.18,0.19,46.74,1.78,113.21,47.75,0.0,16.67,20.58,0.0,0.12,0.0
2007,70.41,3585.37,0.01,55.37,3.22,125.68,164.51,0.0,88.81,24.36,0.0,0.57,0.0
2008,89.72,2717.02,0.03,41.02,1.71,397.54,102.83,0.0,130.38,84.28,0.0,0.47,0.0
2009,160.21,2501.29,0.18,37.5,2.25,394.1,97.21,0.0,203.7,76.76,0.0,0.12,0.02
2010,265.33,3299.35,0.39,52.15,3.14,503.73,157.21,0.0,339.08,115.72,0.0,0.18,0.24
2011,317.29,3919.38,0.3,59.36,3.96,572.92,172.17,0.0,666.03,129.01,3.04,0.16,0.26
2012,373.31,4727.74,0.44,71.04,4.79,694.97,193.03,0.0,762.4,160.88,20.34,0.34,0.28
2013,442.97,5749.29,1.14,84.4,6.0,848.65,225.87,0.0,988.53,219.93,30.45,0.81,0.34
2014,530.75,7272.01,1.15,105.72,7.87,1017.75,293.98,0.0,384.01,262.7,37.2,1.03,0.72
